Trial_No,Feed_Rate,Depth_of_Cut,Cutting_Speed,Flank_Wear
1.0,0.7,0.5,250,0.393513
2.0,0.7,0.75,500,0.467263
3.0,0.7,1.0,750,0.541013
4.0,0.7,1.25,1000,0.614763
5.0,0.7,1.5,1250,0.688513
6.0,0.8,0.5,500,0.535513
7.0,0.8,0.75,750,0.609263
8.0,0.8,1.0,1000,0.683013
9.0,0.8,1.25,1250,0.756763
10.0,0.8,1.5,250,0.830513
11.0,0.9,0.5,750,0.677513
12.0,0.9,0.75,1000,0.751263
13.0,0.9,1.0,1250,0.825013
14.0,0.9,1.25,250,0.898763
15.0,0.9,1.5,500,0.972513
16.0,1.0,0.5,1000,0.819513
17.0,1.0,0.75,1250,0.893263
18.0,1.0,1.0,250,0.967013
19.0,1.0,1.25,500,1.040763
20.0,1.0,1.5,750,1.114513
21.0,1.1,0.5,1250,0.961513
22.0,1.1,0.75,250,1.035263
23.0,1.1,1.0,500,1.109013
24.0,1.1,1.25,750,1.182763
25.0,1.1,1.5,1000,1.256513
26.0,0.5,0.25,919,0.035763
28.0,0.5,0.35,855,0.065263
29.0,0.6,0.4,518,0.222013
30.0,0.8,0.45,364,0.520763
31.0,0.9,0.5,1266,0.677513
32.0,1.1,0.6,472,0.991013
33.0,1.0,0.55,900,0.834263
34.0,0.5,0.65,1130,0.153763
35.0,0.6,0.7,1026,0.310513
36.0,0.4,0.8,1136,0.056013
38.0,0.4,0.8,341,0.056013
39.0,0.5,0.85,936,0.212763
40.0,0.6,0.9,509,0.369513
41.0,0.5,0.7,453,0.168513
42.0,0.6,0.95,323,0.384263
43.0,0.8,1.0,710,0.683013
44.0,0.7,1.05,846,0.555763
45.0,0.9,1.1,897,0.854513
46.0,1.0,1.2,853,1.026013
47.0,1.1,2.0,803,1.404013
48.0,0.5,1.25,1175,0.330763
49.0,0.4,1.3,1163,0.203513
50.0,0.5,1.4,724,0.375013
51.0,0.6,1.5,391,0.546513
52.0,0.8,1.75,1131,0.904263
53.0,0.9,0.5,1179,0.677513
54.0,1.1,1.6,432,1.286013
55.0,1.0,1.7,1094,1.173513
56.0,0.5,1.75,427,0.478263
57.0,0.6,1.8,823,0.635013
58.0,0.4,1.85,1391,0.365763
59.0,0.3,1.9,1345,0.238513
61.0,0.5,0.3,1104,0.050513
